wilaya_code,wilaya_name_fr,commune_name_ar,commune_name_fr
59,Aflou,آفلو,Aflou
59,Aflou,قلتة سيدي سعد,Gueltat Sidi Saâd
59,Aflou,عين سيدي علي,Aïn Sidi Ali
59,Aflou,بيضاء,Beidha
59,Aflou,بريدة,Brida
59,Aflou,الغيشة,El Ghicha
59,Aflou,الحاج المشري,Hadj Mechri
59,Aflou,سبقاق,Sebgag
59,Aflou,تاويالة,Taouiala
59,Aflou,وادي مرة,Oued Morra
59,Aflou,وادي مزي,Oued M'zi
59,Aflou,سيدي بوزيد,Sidi Bouzid
60,Barika,بريكة,Barika
60,Barika,بيطام,Bitam
60,Barika,عبد القادر عزيل,Abdelkader Azil
60,Barika,تيلاطو,Tilatou
60,Barika,سقانة,Seggana
60,Barika,الجزار,Djezzar
60,Barika,مدوكل,Amdoukal
60,Barika,أولاد عمار,Ouled Ammar
61,El Kantara,القنطرة,El Kantara
61,El Kantara,عين زعطوط,Aïn Zaatout
61,El Kantara,البرانيس,El Branès
61,El Kantara,الوطاية,El Outaya
61,El Kantara,جمورة,Djemorah
62,Bir El Ater,بئر العاتر,Bir El Ater
62,Bir El Ater,نقرين,Negrine
62,Bir El Ater,العقلة المالحة,El Ogla El Malha
62,Bir El Ater,فركان,Ferkane
63,El Aricha,العريشة,El Aricha
63,El Aricha,القور,El Gor
63,El Aricha,سيدي الجيلالي,Sidi Djillali
63,El Aricha,البويهي,El Bouihi
64,Ksar Chellala,قصر الشلالة,Ksar Chellala
64,Ksar Chellala,زمالة الأمير عبد القادر,Zmalet Emir Abdelkader
64,Ksar Chellala,الرشايقة,Rechaïga
64,Ksar Chellala,الحمادية,Hamadia
64,Ksar Chellala,سرغين,Serghine
64,Ksar Chellala,بوقرة,Bougara
65,Aïn Oussara,عين وسارة,Aïn Oussara
65,Aïn Oussara,بيرين,Birine
65,Aïn Oussara,بويرة الأحدب,Bouira Lahdab
65,Aïn Oussara,الخميس,El Khemis
65,Aïn Oussara,سيدي لعجال,Sidi Ladjel
65,Aïn Oussara,حد الصحاري,Had Sahary
65,Aïn Oussara,قرنيني,Guernini
65,Aïn Oussara,بنهار,Benhar
65,Aïn Oussara,حاسي فدول,Hassi Fdoul
65,Aïn Oussara,عين فكة,Aïn Fekka
66,Messaad,مسعد,Messaad
66,Messaad,سد الرحال,Sed Rahal
66,Messaad,فيض البطمة,Feidh El Botma
66,Messaad,القطارة,Guettara
66,Messaad,سلمانة,Selmana
66,Messaad,أم العظام,Oum El Adham
66,Messaad,دلدول,Deldoul
66,Messaad,عمورة,Amourah
67,Ksar El Boukhari,قصر البخاري,Ksar El Boukhari
67,Ksar El Boukhari,أولاد معرف,Ouled Maaref
67,Ksar El Boukhari,عين بوسيف,Aïn Boucif
67,Ksar El Boukhari,دراق,Draa
67,Ksar El Boukhari,بوعيش,Bouaiche
67,Ksar El Boukhari,الكاف الأخضر,El Kef Lakhdar
67,Ksar El Boukhari,شلالة العذاورة,Chellalet El Adhaoura
67,Ksar El Boukhari,أولاد هلال,Ouled Hellal
67,Ksar El Boukhari,تفراوت,Tafraout
67,Ksar El Boukhari,بوغار,Boughar
67,Ksar El Boukhari,سيدي دامد,Sidi Damed
67,Ksar El Boukhari,عزيز,Aziz
67,Ksar El Boukhari,الشهبونية,Chahbounia
67,Ksar El Boukhari,شنيقل,Cheniguel
67,Ksar El Boukhari,عين القصير,Aïn El Ksar
67,Ksar El Boukhari,أم الجليل,Oum El Djellil
67,Ksar El Boukhari,مفتاحة,Meftaha
67,Ksar El Boukhari,بوغزول,Boughzoul
67,Ksar El Boukhari,العوينات,El Aouinet
67,Ksar El Boukhari,أولاد عنتر,Ouled Antar
67,Ksar El Boukhari,السانق,Es-Sanaag
68,Bou Saâda,بوسعادة,Bou Saâda
68,Bou Saâda,الخبانة,Khoubana
68,Bou Saâda,مصيف,M'cif
68,Bou Saâda,أولاد سيدي إبراهيم,Ouled Sidi Brahim
68,Bou Saâda,سيدي عامر,Sidi Ameur
68,Bou Saâda,تامسة,Tamsa
68,Bou Saâda,بن سرور,Ben Srour
68,Bou Saâda,أولاد سليمان,Ouled Slimane
68,Bou Saâda,الحوامد,El Houamed
68,Bou Saâda,الهامل,El Hamel
68,Bou Saâda,الزرزور,Zarzour
68,Bou Saâda,محمد بوضياف,Mohamed Boudiaf
68,Bou Saâda,بن زوح,Benzouh
68,Bou Saâda,بئر الفضة,Bir Foda
68,Bou Saâda,عين فارس,Aïn Fares
68,Bou Saâda,سيدي محمد,Sidi M'hamed
68,Bou Saâda,مناعة,Menaâ
68,Bou Saâda,عين الملح,Aïn El Melh
68,Bou Saâda,مجدل,Medjedel
68,Bou Saâda,سليم,Slim
68,Bou Saâda,عين الريش,Aïn Errich
68,Bou Saâda,ولتان,Oulteme
68,Bou Saâda,جبل مسعد,Djebel Messaad
69,El Abiodh Sidi Cheikh,الأبيض سيدي الشيخ,El Abiodh Sidi Cheikh
69,El Abiodh Sidi Cheikh,عين العراك,Aïn El Arak
69,El Abiodh Sidi Cheikh,عرباوة,Arbaouet
69,El Abiodh Sidi Cheikh,بوسمغون,Bou Semghoun
69,El Abiodh Sidi Cheikh,شلالة,Chellala
69,El Abiodh Sidi Cheikh,البنود,El Bnoud
69,El Abiodh Sidi Cheikh,المهارة,El Mehara
