operator,carrier_name,stopdesks,wilaya_count,wilayas,commune_count
noest,Noest Express,94,55,"[""01"",""02"",""03"",""04"",""05"",""06"",""07"",""08"",""09"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""38"",""39"",""40"",""41"",""42"",""43"",""44"",""45"",""46"",""47"",""48"",""49"",""52"",""53"",""56"",""58"",""60"",""65"",""68""]",94
yalidine,Yalidine Express,93,54,"[""01"",""02"",""04"",""05"",""06"",""08"",""09"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""34"",""35"",""36"",""37"",""38"",""39"",""40"",""41"",""42"",""43"",""44"",""46"",""47"",""48"",""49"",""51"",""53"",""55"",""57"",""58"",""59"",""61"",""65"",""68""]",85
anderson,Anderson Logistics,89,50,"[""01"",""02"",""03"",""04"",""05"",""06"",""07"",""09"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""18"",""19"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""39"",""40"",""41"",""42"",""43"",""44"",""45"",""46"",""47"",""48"",""51"",""53"",""55"",""56"",""57"",""65"",""68""]",89
guepex,Guepex,70,35,"[""02"",""05"",""06"",""07"",""09"",""10"",""11"",""12"",""13"",""15"",""16"",""18"",""19"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""30"",""31"",""33"",""34"",""35"",""42"",""43"",""44"",""45"",""46"",""47"",""56"",""57"",""60""]",67
maystro,Maystro Delivery,38,37,"[""01"",""02"",""03"",""04"",""05"",""07"",""08"",""09"",""10"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""21"",""22"",""23"",""24"",""25"",""27"",""28"",""29"",""30"",""31"",""34"",""35"",""37"",""41"",""42"",""43"",""44"",""45"",""47"",""48""]",38
easyandspeed,EasyAndSpeed,14,11,"[""01"",""03"",""07"",""08"",""11"",""13"",""16"",""18"",""19"",""31"",""42""]",14
zimou-express,Zimou Express,8,6,"[""02"",""09"",""16"",""19"",""25"",""31""]",8
wecanservices,WeCanServices,3,2,"[""16"",""35""]",3
speedmail,SpeedMail,2,2,"[""31"",""47""]",2
