الولاية,العنوان,رقم الهاتف,رقم الفاكس
ادرار,حي محمد بوضياف وسط مدينة الهامل 01000 أدرار,049351724,049351724
عين تيموشنت,حي العقيد عثمان كاستورز عين تموشنت,043796800,043791852
الجزائر,محمد علي محمد علي العجمي 16058,021219396,021210039
الجزائر,المحمدية الصنوبر البحري,021210483,021210483
عنلبة,ساحة بلوزداد المدينة القديمة,038450000,038450101
عين دفلة,حي 160 مسكن مناد حاج قدور رقم 65,027503067,027503076
باتنة,حي ادم الاخضرار05000 باتنة,033814656,033803879
بشار,حي غراسا 0800 بشار,049215715,049215715
بجابة,50مسكن حي رابية ناصيرية 0600 بجاية,034164185,034164186
بسكرة,356شارع الاخواة جزار وسط المدينة 07000 بسكرة,033537470,033537469
البليدة,10نهج بن بولعيد البليدة 09000,025234417,026234416
برج بوعريريج,شارع مباركية سعيد,035748120,035748345
البويرة,شارع بوكارو مخلوف 1000 البويرة,026730172,026730101
بومرداس,عمارة11ديسمبر عمارة AGF بناية ANDI الطابق الاول BMR,024914758,024799826
شلف,حي بوسونة مقابل الضمان الاجتماعي 02000,027774663,027790857
قسنطينة,ساحة الشهداء وسط المدينة,031872467,031874259
الجلفة,ساحة محمد بوضياف وسط المدينة 17000 الجلفة,027923419,027923155
البيض,المدباحة المقر السابق,049609824,049609823
الواد,حي طوبة الاصنام قرب قصر العدالة,032115620,032115636
الطارف,ساحة 20اوت 56,038300182,038300182
غرداية,الرقم البريدي 117 سيدي عباز غرداية,029255059,029255599
قالمة,حي بارا لخضر عقابي,037161421,037161422
ايليزي,62شارع مصطفى بن بولعيد وسط المدينة,029411537,029411537
جيجل,شارع 1 نوفمبر وسط المدينة 18000 جيجل,034471235,034497576
خنشلة,طريق بابار 40000 خنشلة,032324430,032324430
الاغواط,مدينة 5جويلية حديقة المعمورة 03000 الأغواط,029134301,029134300
معسكر,شارع مرزوق عمر ساحة فلسطين,045715991,045715933
ميلة,طريق زغيا منطقة نشاط,031473221,031473222
مستغانم,طريق غليزان ، وادي الحدائق ، BP 93,045415105,045415106
مدية,شارع مجشكير,025734615,025734613
مسيلة,حي الإدارية,035338390,035551575
نعامة,المنطقة الصناعية مشرية صندوق البريد 270 45100مشرية,049787533,049587408
وهران,شارع محطة مسرغين,040238283,040914541
ورقلة,,029712906,029712906
ام البواقي,شارع مدفون,032560726,032560651
غليزان,07حي فيغول علام,046766003,046766004
سعيدة,طريق تيارت سرسور سعيدة,048410424,048410417
سيدي بلعباس,نهج الامير عبد القادر وسط المدينة,048688567,048688568
سكيكدة,03شالرع مداغي ديدوش مراد 21000 سكيكدة,038752310,038573916
سوق اهراس,حي 100 مكتب وسط المدينة,037310901,037710015
سطيف,حي القلاع عين توبنات 19000 سطيف,036621610,036621629
تمنراست,شارع سعيد مقراني وسط المدينة,029314001,029314001
تيارت,حي 1575 مسكن محمد جحلان تيارت 14000,046221829,046426430
تندوف,حي حاسيل عبد الله لطفي تندوف,049387198,
تيبازة,الطريق الوطني رقم 11 تقرت دائرة بوسماعيل تيبازة,024409292,024479358
تيسمسيلت,شارع اول نوفمبر تيسمسيلت,046476918,046574558
تيزي وزو,حي 500 مسكن,026200508,026205469
تلمسان,,043422031,043592837
تيبسة,حي شهلة عمارة رقم 02 تبسة 12000,037562041,037483042
