الولاية,الاختصار,المجمع,العنوان,الهاتف,الفاكس
الجزائر,GVAPRO,مجمع تثمين الانتاج الفلاحي,22 شارع المعدومين 17 ماي 1957 العناصر,021676444,021674453
الجزائر,AGROLOG,مجمع الصناعات الغدائية و اللوجسيتيك,22شارع المعدومين 17 ماي 1957 العناصر,021678809,021674014
الجزائر,GIPLAIT,مجمع الحليب,01ساحة سليمان حمادوش حسين داي,023771241,023771243
الجزائر,Filiale SARBO,مجمع تثمين الانتاج الفلاحي,08نهج عبد الحمان ميرة باب الواد,021966799,021967667
الجزائر,Filiale SOTRAVIT,مجمع تثمين الانتاج الفلاحي,,021737275,021737297
بسكرة,Filiale SUDACO,مجمع تثمين الانتاج الفلاحي,شارع المحطة ص ب 64,033627019,033627020
البليدة,GGR,مــــجــمــع الــهــنــدســـة الــريـــفــيــة,طريق بن صاري شبلي ولاية البليدة,025486847,025486852
البليدة,Filiale AGRAL/AM,مجمع تثمين الانتاج الفلاحي,طريق بن صاري شبلي البليدة,025486844,025486842
وهران,Filiale SAO,مجمع تثمين الانتاج الفلاحي,شارع شهداء الثورة المنطقة الصناعية السانية,041513783,041513783
سطيف,Filiale SAGRODEV,مجمع تثمين الانتاج الفلاحي,ص ب 13 قلال ديار عين اولمان,036589248,036589248
